Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees
328,Hormel Foods,9545.7,4.1,1012.1,19.5,8142.3,20100
329,O'Reilly Automotive,9536.4,6.2,1324.5,16.8,7980.8,64325
330,Calpine,9512.0,8.7,10.0,-,16062.0,2282
331,Hertz Global Holdings,9504.0,8.0,-225.0,-168.8,21382.0,38000
332,First Data,9498.0,-21.2,1005.0,-31.4,38327.0,19000
333,Pioneer Natural Resources,9415.0,72.6,978.0,17.4,17903.0,3177
334,Coty,9398.0,22.8,-168.8,-,22630.2,20000
335,AGCO,9352.0,12.6,285.5,53.2,7626.4,21200
336,Mutual of Omaha Insurance,9347.2,7.0,277.3,-67.9,43913.4,6314
337,Vistra Energy,9144.0,68.4,-54.0,-,26024.0,5275
338,Avis Budget Group,9124.0,3.1,165.0,-54.3,19149.0,25600
339,Adobe,9030.0,23.7,2590.8,52.9,18768.7,21357
340,Peter Kiewit Sons',9025.0,4.0,468.0,26.1,4760.0,20000
341,News Corp.,9024.0,10.9,-1514.0,-,16346.0,28000
342,Brighthouse Financial,8965.0,-,865.0,-,206294.0,1260
343,Voya Financial,8934.0,-7.5,875.0,-,154682.0,6000
344,Air Products & Chemicals,8930.2,5.8,1497.8,-50.1,19178.3,16150
345,Hilton Worldwide Holdings,8906.0,-2.6,764.0,-39.3,13995.0,169000
346,GameStop,8850.7,-4.1,-673.0,-2039.5,4044.3,33000
347,Veritiv,8696.2,4.0,-15.7,-,2529.7,8700
348,Williams,8686.0,8.2,-155.0,-107.1,45302.0,5322
349,Campbell Soup,8685.0,10.1,261.0,-70.6,14529.0,23000
350,Rockwell Collins,8665.0,27.0,1032.0,46.4,19026.0,31200
351,Thrivent Financial for Lutherans,8635.2,1.3,1233.9,121.0,94482.9,3708
352,Westlake Chemical,8635.0,7.4,996.0,-23.6,11602.0,8870
353,Univar,8632.5,4.6,172.3,43.8,5272.4,8500
354,J.B. Hunt Transport Services,8614.9,19.8,489.6,-28.7,5091.6,27621
355,Frontier Communications,8611.0,-5.7,-643.0,-,23659.0,21173
356,Jones Financial (Edward Jones),8594.0,13.1,990.0,13.5,15815.0,47000
357,National Oilwell Varco,8453.0,15.7,-31.0,-,19796.0,34642
358,Eversource Energy,8448.2,9.0,1033.0,4.6,38241.3,7998
359,Dick's Sporting Goods,8436.6,-1.8,319.9,-1.1,4187.1,27950
360,Genworth Financial,8430.0,1.6,119.0,-85.4,100923.0,3500
361,Fidelity National Information Services,8423.0,-7.7,846.0,-35.9,23770.0,47000
362,Yum China Holdings,8415.0,17.8,708.0,75.7,4610.0,450000
363,Ryder System,8409.2,14.7,273.3,-65.4,13051.1,39600
364,Anixter International,8400.2,6.0,156.3,43.4,4653.1,9300
365,Caesars Entertainment,8391.0,72.9,303.0,-,25775.0,66000
366,Masco,8359.0,9.4,734.0,37.7,5393.0,26000
367,Thor Industries,8328.9,14.9,430.2,14.9,2778.7,17500
368,Alaska Air Group,8264.0,4.2,437.0,-57.7,10912.0,23376
369,Amphenol,8202.0,17.0,1205.0,85.2,10044.9,73600
370,WESCO International,8176.6,6.5,227.3,39.1,4605.0,9100
371,Huntington Ingalls Industries,8176.0,9.9,836.0,74.5,6383.0,40000
372,Jefferies Financial Group,8151.8,-34.3,1026.8,497.9,47131.1,4700
373,Dana,8143.0,13.0,427.0,284.7,5918.0,30900
374,Expeditors Intl. of Washington,8138.4,17.6,618.2,26.3,3314.6,17400
375,EMCOR Group,8130.6,5.8,283.5,24.8,4088.8,33000
376,Darden Restaurants,8080.1,12.7,596.0,24.4,5469.6,180656
377,SpartanNash,8064.6,-0.8,33.6,-,1971.9,11400
378,Assurant,8057.6,25.6,251.0,-51.7,41089.3,14250
379,United Rentals,8047.0,21.2,1096.0,-18.6,18133.0,18500
380,Liberty Media,8040.0,5.9,531.0,-60.8,40828.0,4641
381,Erie Insurance Group,8030.7,6.6,686.3,-20.0,21178.2,5547
382,Auto-Owners Insurance,7999.3,5.2,754.5,16.8,24476.4,5517
383,Cheniere Energy,7987.0,42.6,471.0,-,31987.0,1372
384,Fifth Third Bancorp,7973.0,3.4,2193.0,-0.0,146069.0,17437
385,Foot Locker,7939.0,2.0,541.0,90.5,3820.0,32401
386,Conagra Brands,7938.3,-14.0,808.4,26.5,10389.5,12400
387,Zimmer Biomet Holdings,7932.9,1.4,-379.2,-120.9,24126.8,19800
388,Tractor Supply,7911.0,9.0,532.4,26.0,3085.3,22000
389,Berry Global Group,7869.0,10.9,496.0,45.9,9131.0,24000
390,Alliance Data Systems,7791.2,0.9,963.1,22.1,30387.7,20000
391,Hershey,7791.1,3.7,1177.6,50.4,7703.0,15675
392,PPL,7785.0,4.5,1827.0,62.0,43396.0,12444
393,Dean Foods,7755.3,-0.5,-326.9,-630.8,2118.5,15000
394,Builders FirstSource,7724.8,9.8,205.2,429.1,2932.3,15000
395,Oshkosh,7705.5,12.8,471.9,65.2,5294.2,15000
396,EnLink Midstream,7699.0,34.1,-13.2,-106.2,10694.1,1449
397,W.R. Berkley,7691.7,0.1,640.7,16.7,24896.0,7448
398,WEC Energy Group,7679.5,0.4,1059.3,-12.0,33475.8,7878
399,JetBlue Airways,7658.0,9.2,188.0,-83.6,10426.0,18268
400,UGI,7651.2,25.0,718.7,64.6,11980.9,13000
401,A-Mark Precious Metals,7606.2,8.8,-3.4,-147.9,743.0,184
402,Fidelity National Financial,7594.0,-22.3,628.0,-18.5,9301.0,23436
403,Constellation Brands,7585.0,3.5,2318.9,51.1,20538.7,9600
404,Quest Diagnostics,7531.0,-2.3,736.0,-4.7,11003.0,46000
405,Activision Blizzard,7500.0,6.9,1813.0,564.1,17835.0,9900
406,Weyerhaeuser,7476.0,3.9,748.0,28.5,17249.0,9300
407,Raymond James Financial,7475.8,14.6,856.7,34.7,37412.9,13900
408,Casey's General Stores,7472.1,12.5,317.9,79.1,3469.9,27561
409,Keurig Dr Pepper,7442.0,11.2,586.0,-45.5,48918.0,25500
410,American Tower,7440.1,11.6,1236.4,-0.2,33010.4,5026
411,Apache,7424.0,15.6,40.0,-96.9,21582.0,3420
412,Dover,7395.8,-5.6,570.3,-29.7,8365.8,24000
413,KeyCorp,7393.0,7.6,1866.0,44.0,139613.0,18180
414,J.M. Smucker,7357.1,-0.5,1338.6,126.0,15301.2,7000
415,Citizens Financial Group,7354.0,13.9,1721.0,4.2,160518.0,18140
416,Motorola Solutions,7343.0,15.1,966.0,-,9409.0,16000
417,Magellan Health,7314.2,25.3,24.2,-78.1,2979.1,10500
418,American Axle & Manufacturing,7270.4,16.0,-57.5,-117.1,7510.7,25000
419,Newmont Goldcorp,7253.0,-1.3,341.0,-,20715.0,12442
420,Spirit AeroSystems Holdings,7222.0,3.4,617.0,73.9,5685.9,17000
421,Western & Southern Financial Group,7205.0,23.5,495.0,59.4,50635.5,2769
422,Fortive,7203.2,8.2,2913.8,179.0,12905.6,24000
423,Graybar Electric,7202.5,8.6,143.3,100.1,2491.2,8700
424,NVR,7189.7,13.7,797.2,48.3,3165.9,5600
425,Avery Dennison,7159.0,8.2,467.4,65.9,5177.5,30000
426,Celanese,7155.0,16.5,1207.0,43.2,9313.0,7684
427,American Financial Group,7150.0,4.2,530.0,11.6,63456.0,7600
428,Toll Brothers,7143.3,22.8,748.2,39.7,10244.6,4900
429,Sanmina,7110.1,3.5,-95.5,-168.8,4085.1,41200
430,Insight Enterprises,7080.1,5.6,163.7,80.5,2775.9,7420
431,Owens Corning,7057.0,10.5,545.0,88.6,9771.0,20000
432,Packaging Corp. of America,7014.6,8.8,738.0,10.4,6569.7,15000
433,TravelCenters of America,6973.6,15.2,-120.6,-1401.6,1442.1,18277
434,Olin,6946.1,10.8,327.9,-40.3,8997.4,6500
435,Arthur J. Gallagher,6934.0,12.6,633.5,36.8,16334.0,30362
436,MasTec,6909.4,4.6,259.7,-25.2,4440.0,19000
437,Alleghany,6887.2,7.2,39.5,-56.1,25344.9,9300
438,Owens-Illinois,6877.0,0.1,257.0,42.8,9699.0,26500
439,Asbury Automotive Group,6874.4,6.5,168.0,20.8,2695.4,8200
440,CMS Energy,6873.0,4.4,657.0,42.8,24529.0,8291
441,Markel,6841.3,12.9,-128.2,-132.4,33306.3,17400
442,Blackstone Group,6833.3,-4.0,1541.8,4.8,28924.7,2615
443,AK Steel Holding,6818.2,12.1,186.0,2900.0,4515.7,9500
444,Hanesbrands,6804.0,5.0,553.1,793.6,7256.0,68000
445,R.R. Donnelley & Sons,6800.2,-2.0,-11.0,-,3640.8,39500
446,Wayfair,6779.2,43.6,-504.1,-,1890.9,12124
447,Regions Financial,6762.0,11.0,1759.0,39.3,125688.0,19969
448,Wynn Resorts,6717.7,6.5,572.4,-23.4,13216.3,26000
449,Ulta Beauty,6716.6,14.1,658.6,18.6,3191.2,30000
450,Regeneron Pharmaceuticals,6710.8,14.3,2444.4,104.0,11734.5,7400
451,Burlington Stores,6668.5,9.1,414.7,7.8,3079.2,44000
452,Rockwell Automation,6666.0,5.6,535.5,-35.1,6262.0,23000
453,Northern Trust,6658.9,16.5,1556.4,29.8,132212.5,18800
454,Chemours,6638.0,7.4,995.0,33.4,7362.0,7000
455,Seaboard,6583.0,13.3,-17.0,-106.9,5307.0,12600
456,Marathon Oil,6582.0,27.7,1096.0,-,21321.0,2400
457,Ascena Retail Group,6578.3,-1.1,-39.7,-,3570.5,39500
458,Dillard's,6503.3,1.3,170.3,-23.1,3431.4,31005
459,Cintas,6487.4,19.5,842.6,75.3,6958.2,41000
460,Advanced Micro Devices,6475.0,21.5,337.0,683.7,4556.0,10100
461,Hess,6466.0,19.6,-282.0,-,21433.0,1708
462,M&T Bank Corp.,6454.7,7.2,1918.1,36.2,120097.4,16840
463,ABM Industries,6442.2,18.1,97.8,2473.7,3627.5,140000
464,Beacon Roofing Supply,6418.3,46.6,98.6,-2.2,6508.7,8356
465,NCR,6405.0,-1.7,-88.0,-137.9,7761.0,34000
466,iHeartMedia,6325.8,2.6,-201.9,-,12269.5,18300
467,Franklin Resources,6319.1,-1.1,764.4,-54.9,14383.5,9691
468,Ameren,6291.0,1.8,815.0,55.8,27215.0,8838
469,Intercontinental Exchange,6276.0,7.6,1988.0,-20.9,92791.0,5161
470,S&P Global,6258.0,3.2,1958.0,30.9,9458.0,21200
471,Post Holdings,6257.2,19.7,467.3,867.5,13057.5,11550
472,Analog Devices,6200.9,21.4,1495.4,105.6,20449.8,15800
473,Ralph Lauren,6182.3,-7.1,162.8,-,6143.3,18150
474,L3Harris Technologies,6182.0,-10.9,718.0,29.8,9839.0,17500
475,Booz Allen Hamilton,6171.9,6.3,305.1,20.8,3603.4,24600
476,Polaris Industries,6166.0,12.0,335.3,94.4,4124.9,12000
477,Clorox,6124.0,2.5,823.0,17.4,5060.0,8700
478,Realogy Holdings,6079.0,-0.6,137.0,-68.2,7290.0,11400
479,HD Supply Holdings,6047.0,-7.5,394.0,-59.4,4233.0,11500
480,Graphic Packaging Holding,6023.0,36.8,221.1,-26.3,7059.2,18000
481,Old Republic International,6021.8,-3.9,370.5,-33.9,19327.1,9000
482,Intuit,5964.0,15.2,1211.0,24.7,5178.0,8900
483,NetApp,5911.0,7.1,76.0,-85.1,9865.0,10300
484,Tapestry,5880.0,31.0,397.5,-32.7,6678.3,16900
485,ON Semiconductor,5878.3,6.0,627.4,-22.6,7587.6,35700
486,Ingredion,5841.0,0.2,443.0,-14.6,5728.0,11000
487,Zoetis,5825.0,9.8,1428.0,65.3,10777.0,10000
488,Fiserv,5823.0,2.2,1187.0,-4.7,11262.0,24000
489,TreeHouse Foods,5812.1,-7.8,-61.4,-,5599.3,12700
490,Robert Half International,5800.3,10.1,434.3,49.5,1903.1,18900
491,First American Financial,5747.8,-0.4,474.5,12.2,10630.6,18251
492,Harley-Davidson,5716.9,1.2,531.5,1.9,10665.7,5900
493,Windstream Holdings,5713.1,-2.4,-723.0,-,10257.9,11945
494,Yum Brands,5688.0,-3.2,1542.0,15.1,4130.0,34000
495,Williams-Sonoma,5671.6,7.2,333.7,28.6,2812.8,19800
496,Simon Property Group,5657.9,2.2,2440.1,25.3,30686.2,4150
497,Navient,5610.0,8.3,395.0,35.3,104176.0,6500
498,Western Union,5589.9,1.2,851.9,-,8996.8,12000
499,Peabody Energy,5581.8,0.1,646.9,-,7423.7,7400
500,Levi Strauss,5575.4,13.7,283.1,0.6,3542.7,15100
501,Avon Products,5571.3,-2.5,-19.5,-188.6,3010.0,23000
502,Host Hotels & Resorts,5524.0,2.5,1087.0,92.7,12090.0,184
503,Kelly Services,5513.9,2.6,22.9,-68.0,2314.4,7900
504,Rush Enterprises,5506.2,16.8,139.1,-19.2,3201.4,7214
505,Spectrum Brands Holdings,5505.5,-17.2,768.3,624.8,7747.7,13000
506,Securian Financial Group,5495.8,-9.4,322.4,-23.0,51887.8,5300
507,Diplomat Pharmacy,5492.5,22.5,-302.3,-2048.9,1476.4,2234
508,Fortune Brands Home & Security,5485.1,3.8,389.6,-17.6,5964.6,25300
509,TD Ameritrade Holding,5473.0,48.5,1473.0,68.9,37520.0,9183
510,Patterson,5465.7,-2.3,201.0,17.6,3471.7,7700
511,Domtar,5455.0,5.8,283.0,-,4925.0,10000
512,FM Global,5427.3,11.3,161.4,-36.5,22207.5,5475
513,Crown Castle International,5423.0,24.5,671.0,50.9,32785.0,5000
514,McCormick,5408.9,11.9,933.4,95.5,10256.4,11600
515,Cincinnati Financial,5407.5,-5.7,287.1,-72.5,21934.8,4999
516,Hanover Insurance Group,5406.7,4.3,391.0,110.0,12399.7,4200
517,Conduent,5393.0,-10.4,-416.0,-329.8,6680.0,82000
518,Sonoco Products,5390.9,7.0,313.6,78.8,4583.5,23000
519,T. Rowe Price,5372.6,12.1,1837.5,22.7,7689.3,7022
520,Cerner,5366.3,4.4,630.1,-27.3,6708.6,29200
521,Knight-Swift Transportation Holdings,5344.1,120.3,419.3,-13.4,7911.9,22700
522,RPM International,5321.6,7.3,337.8,85.8,5271.8,14540
523,Michaels Cos.,5271.9,-1.7,319.5,-18.2,2128.3,29500
524,Huntington Bancshares,5270.0,11.2,1393.0,17.5,108781.0,15693
525,Big Lots,5238.1,-0.6,156.9,-17.4,2023.3,23250
526,KKR,5222.4,-11.9,1131.1,11.1,50743.4,1301
527,Sprouts Farmers Market,5207.3,11.6,158.5,0.1,1675.6,30000
528,Xylem,5207.0,10.6,549.0,65.9,7222.0,17000
529,Under Armour,5193.2,4.4,-46.3,-,4245.0,11000
530,Roper Technologies,5191.2,12.7,944.4,-2.8,15249.5,15611
531,LPL Financial Holdings,5188.4,21.2,439.5,84.0,5477.5,4229
532,Brunswick,5159.2,5.3,265.3,81.2,4285.7,16038
533,Electronic Arts,5150.0,6.3,1043.0,7.9,8584.0,9300
534,Terex,5125.0,17.5,113.7,-11.7,3485.9,11700
535,NiSource,5114.5,4.9,-50.6,-139.4,21804.0,8087
536,Telephone & Data Systems,5109.0,1.3,135.0,-11.8,9783.0,9400
537,YRC Worldwide,5092.0,4.1,20.2,-,1617.1,31000
538,Select Medical Holdings,5081.3,14.4,137.8,-22.2,5964.3,40400
539,Equinix,5071.7,16.1,365.4,56.8,20244.6,7903
540,Boise Cascade,4995.3,12.7,20.5,-75.3,1581.2,6210
541,Noble Energy,4986.0,17.2,-66.0,-,21010.0,2330
542,Schneider National,4977.0,13.5,268.9,-31.0,3624.5,19400
543,Genesis Healthcare,4976.7,-7.4,-235.2,-,4263.6,61300
544,Fastenal,4965.1,13.1,751.9,29.9,3321.5,21644
545,Commercial Metals,4948.4,-1.0,138.5,198.9,3328.3,8900
546,EQT,4946.7,46.4,-2244.6,-248.8,20721.3,863
547,Agilent Technologies,4914.0,9.9,316.0,-53.8,8541.0,14800
548,KBR,4913.0,17.8,281.0,-35.3,5072.0,25000
549,Neiman Marcus Group,4900.4,4.1,251.1,-,7545.9,13500
550,NortonLifeLock,4888.0,16.6,1138.0,-,15759.0,11830
551,Chipotle Mexican Grill,4865.0,8.7,176.6,0.2,2265.5,73000
552,Ametek,4845.9,12.7,777.9,14.2,8662.3,18200
553,Camping World Holdings,4792.0,11.8,10.4,-63.3,2806.7,11835
554,Smart & Final Stores,4741.8,3.7,-112.2,-,1711.9,7921
555,Sealed Air,4732.7,-22.8,193.1,-76.3,5050.2,15500
556,FMC,4731.6,37.5,502.1,-6.3,9974.3,7300
557,Continental Resources,4709.6,50.9,988.3,25.2,15297.9,1221
558,Welltower,4700.5,8.9,805.0,54.0,30342.1,384
559,Skechers U.S.A.,4662.7,11.5,301.0,68.0,3228.3,9000
560,Science Applications International,4659.0,4.6,137.0,-23.5,4563.0,23127
561,Wyndham Destinations,4651.0,-20.1,672.0,-22.8,7158.0,24500
562,Juniper Networks,4647.5,-7.6,566.9,85.1,9363.3,9283
563,Coca-Cola Consolidated,4625.4,7.0,-19.9,-120.6,3009.9,15200
564,Landstar System,4619.0,26.6,255.3,44.2,1380.6,1306
565,National General Holdings,4608.0,4.0,207.4,95.9,9439.3,8440
566,ADT,4581.7,6.2,-609.2,-277.8,17208.6,19000
567,Hasbro,4579.6,-12.1,220.4,-44.4,5263.0,5800
568,Diebold Nixdorf,4578.6,-0.7,-568.7,-,4311.9,23000
569,CommScope Holding,4568.5,0.2,140.2,-27.6,6630.5,20000
570,Carlisle,4549.0,11.2,611.1,67.2,5249.2,13950
571,KB Home,4547.0,4.1,170.4,-5.7,5073.6,2005
572,Watsco,4546.7,4.7,242.9,16.7,2161.0,5200
573,Brookdale Senior Living,4531.4,-4.5,-528.3,-,6467.3,54300
574,MDU Resources Group,4531.1,2.0,272.3,-3.2,6988.1,11797
575,Mattel,4510.9,-7.6,-531.0,-,5243.5,27000
576,Universal Forest Products,4489.2,13.9,148.6,24.3,1647.5,12000
577,Hubbell,4481.7,22.2,360.2,48.2,4872.1,19700
578,CACI International,4467.9,2.6,301.2,84.0,4034.2,18800
579,Tutor Perini,4454.7,-6.4,83.4,-43.8,4387.8,8200
580,Hyatt Hotels,4454.0,-4.9,769.0,208.8,7643.0,54000
581,Silgan Holdings,4448.9,8.8,224.0,-16.9,4579.3,13220
582,Moody's,4442.7,5.7,1309.6,30.9,9526.2,13057
583,Tiffany,4442.1,6.5,586.4,58.4,5333.0,14200
584,CF Industries Holdings,4428.9,7.2,289.8,-19.0,12661.3,3055
585,Hub Group,4423.1,9.6,201.7,49.3,1924.9,5400
586,Ryerson Holding,4408.4,31.0,106.0,519.9,2086.3,4600
587,Syneos Health,4390.1,64.3,24.3,-,7254.9,24000
588,Vulcan Materials,4382.9,12.7,515.8,-14.2,9832.1,8782
589,Westinghouse Air Brake,4363.5,12.4,294.9,12.5,8649.2,18000
590,JELD-WEN Holding,4346.7,15.5,144.4,1237.8,3051.1,23000
591,Broadridge Financial Solutions,4329.9,4.5,427.9,30.9,3304.7,10000
592,Amkor Technology,4316.5,3.1,127.1,-51.3,4495.4,30850
593,CNO Financial Group,4313.5,0.4,-315.0,-279.4,31439.8,3300
594,CME Group,4309.4,18.2,1962.2,-51.7,77475.7,4590
595,Globe Life,4303.8,3.6,701.5,-51.8,23095.7,3102
596,Encompass Health,4277.3,7.7,292.3,14.0,5175.0,33050
597,Nasdaq,4277.0,7.9,458.0,-37.6,15700.0,4099
598,Evergy,4275.9,66.3,535.8,65.4,25598.1,4832
599,Leggett & Platt,4269.5,8.3,305.9,4.5,3382.0,22000
600,IAC/InterActiveCorp,4262.9,28.9,627.0,105.6,6874.6,7800
601,Martin Marietta Materials,4244.3,7.0,470.0,-34.1,9551.4,8714
602,CA,4235.0,4.9,476.0,-38.6,13060.0,11300
603,OneMain Holdings,4232.0,12.7,447.0,144.3,20090.0,10200
604,Taylor Morrison Home,4227.4,8.8,206.4,126.2,5264.4,2300
605,Iron Mountain,4225.8,9.9,363.4,97.7,11852.2,26200
606,Laureate Education,4219.9,-3.6,370.1,304.6,6769.6,49500
607,Zebra Technologies,4218.0,13.3,421.0,2376.5,4339.0,7400
608,Quad/Graphics,4193.7,1.5,8.5,-92.1,2469.1,20600
609,Meritor,4178.0,24.8,117.0,-63.9,2726.0,8600
610,MRC Global,4172.0,14.4,74.0,48.0,2434.0,3773
611,Concho Resources,4151.0,60.5,2286.0,139.1,26294.0,1503
612,Church & Dwight,4145.9,9.8,568.6,-23.5,6069.2,4700
613,Antero Resources,4139.6,13.2,-397.5,-164.6,15519.5,623
614,Alexion Pharmaceuticals,4131.2,16.3,77.6,-82.5,13931.9,2656
615,Bloomin' Brands,4126.4,-2.1,107.1,6.8,2464.8,93000
616,Buckeye Partners,4108.3,12.6,-59.0,-112.3,9355.6,1850
617,Ingles Markets,4092.8,2.3,97.4,80.7,1824.9,17940
618,Bemis,4089.9,1.1,225.7,140.1,3571.0,15694
619,Snap-on,4070.4,1.8,679.9,21.9,5373.1,12600
620,SCANA,4052.0,-8.1,-528.0,-,17654.0,5200
621,Allegheny Technologies,4046.6,14.8,222.4,-,5501.8,8800
622,Old Dominion Freight Line,4043.7,20.4,605.7,30.6,3545.3,21279
623,KLA-Tencor,4036.7,16.0,802.3,-13.4,5619.4,6550
624,American Eagle Outfitters,4035.7,6.3,261.9,28.3,1903.4,27000
625,Nexeo Solutions,4034.2,10.9,29.4,104.2,2243.6,2760
626,Total System Services,4028.2,-18.3,576.7,-1.6,7468.7,13100
627,Warner Music Group,4005.0,12.0,307.0,114.7,5344.0,4660
628,Dentsply Sirona,3986.3,-0.2,-1011.0,-,8687.0,16400
629,Microchip Technology,3980.8,16.2,255.4,55.1,8257.2,14234
630,International Flavors & Fragrances,3977.5,17.0,337.3,14.1,12889.4,13209
631,Gartner,3975.5,20.1,122.5,3634.6,6201.5,15173
632,Element Solutions,3952.8,4.7,-324.4,-,9401.5,4450
633,Flowers Foods,3951.9,0.8,157.2,4.7,2845.5,9200
634,Urban Outfitters,3950.6,9.3,298.0,175.3,2160.5,16800
635,Sally Beauty Holdings,3932.6,-0.1,258.0,20.0,2097.4,21955
636,Worldpay,3925.4,-2.5,12.8,-90.2,24888.5,8186
637,Lennox International,3883.9,1.2,359.0,17.4,1817.2,11350
638,Keysight Technologies,3878.0,21.6,165.0,61.8,5824.0,12900
639,Greif,3873.8,6.5,209.4,76.6,3194.8,13000
640,Skyworks Solutions,3868.0,5.9,918.4,-9.1,4828.9,9400
641,Sabre,3867.0,7.5,337.5,39.2,5806.4,8860
642,Southwestern Energy,3862.0,20.6,537.0,-48.7,5797.0,960
643,ScanSource,3846.3,7.8,33.2,-52.1,1945.3,2600
644,Green Plains,3843.4,6.9,15.9,-73.9,2216.4,1194
645,Flowserve,3832.7,4.7,119.7,4412.5,4616.3,17000
646,WABCO Holdings,3831.0,15.9,394.1,-3.0,3738.6,16135
647,Aaron's,3828.9,13.2,196.2,-32.9,2826.7,11800
648,Insperity,3828.5,16.0,135.4,60.4,1191.8,3200
649,LSC Communications,3826.0,6.2,-23.0,-,1754.0,22000
650,TransDigm Group,3822.9,8.3,957.1,60.3,12197.5,10100
651,Monster Beverage,3807.2,13.0,993.0,21.0,4526.9,2748
652,Hexion,3797.0,5.7,-162.0,-,1961.0,4000
653,Edwards Lifesciences,3772.8,9.8,722.2,23.7,5323.7,12800
654,Sprague Resources,3771.1,32.1,79.8,170.6,1245.2,901
655,Kar Auction Services,3769.6,9.0,328.0,-9.4,7206.2,16468
656,Resolute Forest Products,3756.0,6.9,235.0,-,3935.0,7400
657,Ventas,3745.8,4.8,409.5,-69.8,22584.6,500
658,Ashland Global Holdings,3743.0,14.8,114.0,11300.0,8252.0,6000
659,Pitney Bowes,3733.9,5.2,223.7,-14.4,5972.9,13300
